,date,code,kind_of_trade,turnover
0,1/1/2009,WZ08-47781,Activities of opticians,76.5
1,1/1/2009,WZ08-4719-02,Retail sale of non-food,80.8
2,1/1/2009,WZ08-476,Retail sale of cultural and recreation goods,83.4
3,1/1/2009,WZ08-47191,Retail sale in non-specialised stores (ex. food),87.5
4,1/1/2009,WZ08-4726,Retail sale of tobacco products,88.6
5,1/1/2009,WZ08-4771,Retail sale of clothing,78.3
6,1/1/2009,WZ08-475,Retail sale of other household equipment,81.5
7,1/1/2009,WZ08-4719,Other retail sale in non-specialised stores,107.3
8,1/1/2009,WZ08-471-04,"Retail trade	 except retail sale of fuels",80.9
9,1/1/2009,WZ08-471-02,Retail trade in the traditional sense,76.5
10,1/1/2009,WZ08-45-01,Motor trade and retail trade,76.5
11,1/1/2009,WZ08-47111,"Retail sale of food	bev.	tob. in non-spec. stores",79.3
12,1/1/2009,WZ08-4751,Retail sale of textiles,97.6
13,1/1/2009,WZ08-4762,Retail sale of newspapers and stationery,97.2
14,1/1/2009,WZ08-4741-01,Retail sale of books and stationery,83.9
15,1/1/2009,WZ08-47302,Retail sale of private-brand automotive fuel,75.7
16,1/1/2009,WZ08-4754,Retail sale of electrical household appliances,94.4
17,1/1/2009,WZ08-47622,"Retail sale of stationery	school a.office supplies",103.3
18,1/1/2009,WZ08-471,Retail sale in non-specialised stores,83.7
19,1/1/2009,WZ08-4777,Retail sale of watches and jewellery,71.7
20,1/1/2009,WZ08-474,Retail sale of information a. communication equip.,110.6
21,1/1/2009,WZ08-4752-01,"Retail sale of furniture	furnishings	hh.equip.etc.",80.9
22,1/1/2009,WZ08-47621,"Retail sale of newspapers	 journals	 periodicals",88.3
23,1/1/2009,WZ08-4743,Retail sale of audio and video equipment,122.1
24,1/1/2009,WZ08-479,"Retail trade not in stores	 stalls or markets",65.5
25,1/1/2009,WZ08-47762,"Retail sale of live animals	 animal food etc.",74.2
26,1/1/2009,WZ08-474-01,"Retail sale of furniture	 HiFi and IT",88.4
27,1/1/2009,WZ08-4741,"Retail sale of computers	peripheral units	software",100.4
28,1/1/2009,WZ08-4773-01,"Dispensing chemist	retail sale of medic. goods etc",78.8
29,1/1/2009,WZ08-4789,Retail sale via stalls and markets of other goods,69.7
30,1/1/2009,WZ08-471-01,Retail trade in-store,82.9
31,1/1/2009,WZ08-47791,Retail sale of antiques and antique rugs in stores,129.6
32,1/1/2009,WZ08-4751-02,"Retail sale of textiles	clothing	footwear	leather",76.6
33,1/1/2009,WZ08-47642,Retail sale of sports a. camping goods (ex. camp.),83.1
34,1/1/2009,WZ08-4725,Retail sale of beverages,73.5
35,1/1/2009,WZ08-4729,Other retail sale of food,80.1
36,1/1/2009,WZ08-4751-01,"Retail sale of textiles	 clothing and footwear",77.1
37,1/1/2009,WZ08-4719-01,Retail sale of non-food (incl. markets of food),81.1
38,1/1/2009,WZ08-4775,Retail sale of cosmetic and toilet articles,82.7
39,1/1/2009,WZ08-47783,"Retail sale of art	pictures	craftwork	stamps etc.",71.3
40,1/1/2009,WZ08-47721,Retail sale of footwear,67.5
41,1/1/2009,WZ08-4743-01,"Retail sale of furnishings	 household equip. etc.",87.9
42,1/1/2009,WZ08-4765,Retail sale of games and toys,74.5
43,1/1/2009,WZ08-47722,Retail sale of leather goods and luggage,52.7
44,1/1/2009,WZ08-47792,Retail sale in second-hand bookstores in stores,37.4
45,1/1/2009,WZ08-47911,"Retail sale of textiles etc. v.mail order	Internet",59.1
46,1/1/2009,WZ08-47782,"Retail sale of photographic	 optical equip. etc.",108.2
47,1/1/2009,WZ08-4724,"Retail sale of bread	cakes	flour a. sugar confect.",100.1
48,1/1/2009,WZ08-4711-01,"Retail sale of food	 except retail sale via stalls",82
